id,name,description,status_id,responsible_id,created_at
1,"Разработка нового сайта","Полная переработка корпоративного сайта с адаптивным дизайном",2,3,"2023-01-10 09:00:00"
2,"Мобильное приложение","Создание мобильного приложения для iOS и Android",1,2,"2023-01-15 10:30:00"
3,"Обновление CRM системы","Модернизация системы управления клиентами",3,1,"2023-02-05 14:15:00"
4,"Внедрение BI аналитики","Интеграция системы бизнес-аналитики",2,4,"2023-02-10 11:20:00"
5,"Автоматизация отчетности","Разработка системы автоматического формирования отчетов",4,3,"2023-03-01 16:45:00"
6,"Чат-бот для поддержки","Создание интеллектуального чат-бота",2,2,"2023-03-12 13:10:00"
7,"Миграция на облако","Перенос инфраструктуры в облачное хранилище",1,1,"2023-04-05 10:00:00"
8,"Система документооборота","Внедрение электронного документооборота",3,4,"2023-04-18 15:30:00"
9,"Обновление базы данных","Переход на новую версию СУБД",2,3,"2023-05-02 09:45:00"
10,"Лэндинг для продукта","Создание промо-страницы для нового продукта",4,2,"2023-05-15 14:00:00"
11,"Интеграция платежей","Подключение новых платежных систем",1,1,"2023-06-01 11:15:00"
12,"Система бронирования","Разработка системы онлайн-бронирования",2,4,"2023-06-10 16:20:00"
13,"Маркетплейс","Создание платформы для продажи товаров",3,3,"2023-07-05 10:30:00"
14,"Личный кабинет","Разработка персонального раздела для пользователей",4,2,"2023-07-18 13:45:00"
15,"API для партнеров","Создание программного интерфейса для интеграции",1,1,"2023-08-02 09:00:00"
16,"Система лояльности","Внедрение программы поощрения клиентов",2,4,"2023-08-15 14:15:00"
17,"Анализ данных","Настройка системы сбора и анализа данных",3,3,"2023-09-01 11:30:00"
18,"Безопасность","Повышение уровня защиты информации",4,2,"2023-09-12 16:45:00"
19,"Обучение сотрудников","Организация тренингов по новым системам",1,1,"2023-10-05 10:00:00"
20,"Редизайн интерфейса","Обновление пользовательского интерфейса",2,4,"2023-10-18 15:15:00"
